936 1730308766309 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM144 Address = 1fc0ff40, Mask = 7b000000
936 1730308766315 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM144 Return End

936 1730308766315 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM144 Pre:GetInterfaceProvider
936 1730308766315 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM144 Payload
936 1730308766315 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM144 ProgrammerToGo
936 1730308766315 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM144 Payload End
936 1730308766315 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM144 Post:GetInterfaceProvider
936 1730308766315 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM144 Return Value
936 1730308766315 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM144 com.microchip.mplab.libs.RI4ToolsController.implementations.ProgrammerToGoImpl@fc8e88f
936 1730308766315 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM144 Return End

936 1730308766315 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM144 Pre:GetInterfaceProvider
936 1730308766315 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM144 Payload
936 1730308766315 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM144 Status
936 1730308766315 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM144 Payload End
936 1730308766315 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM144 Post:GetInterfaceProvider
936 1730308766315 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM144 Return Value
936 1730308766315 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM144 null
936 1730308766315 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM144 Return End

936 1730308766321 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Pre:SetProgramExec
936 1730308766321 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Payload
936 1730308766321 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 FileRegs
936 1730308766321 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 a0000900
936 1730308766321 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Length = 4360
936 1730308766321 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Payload End
936 1730308766321 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Post:SetProgramExec
936 1730308766321 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Return Value
936 1730308766321 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 true
936 1730308766321 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Return End
936 1730308766321 GEN4_CONNECT_DIAGNOSTICS:ENTERING: com.microchip.mplab.mdbcore.RI4Tool.ConnectionHandler.CheckForFWUpdates()
936 1730308766321 GEN4_CONNECT_DIAGNOSTICS:Created FirmwareUpdateHandler com.microchip.mplab.mdbcore.pk4hybrid.pk4hybridFirmwareUpdateHandler@40e2de5
936 1730308766322 GEN4_CONNECT_DIAGNOSTICS:ENTERING: com.microchip.mplab.mdbcore.pk4hybrid.pk4hybridFirmwareUpdateHandler.UpdateFirmware(FirmwareInfo, UpdateMessage)
936 1730308766322 GEN4_CONNECT_DIAGNOSTICS:areWeInBoot returned false
936 1730308766322 GEN4_CONNECT_DIAGNOSTICS:inBoot = false
936 1730308766322 GEN4_CONNECT_DIAGNOSTICS:uMode = checkingVersions
936 1730308766322 GEN4_CONNECT_DIAGNOSTICS:selectedTool = pk4
936 1730308766322 GEN4_CONNECT_DIAGNOSTICS:current toolType = pk4
936 1730308766322 GEN4_CONNECT_DIAGNOSTICS:current tool mode = pk4
936 1730308766322 GEN4_CONNECT_DIAGNOSTICS:ENTERING: com.microchip.mplab.mdbcore.pk4hybrid.pk4hybridFirmwareUpdateHandler.GetUpdateInfo()
936 1730308766322 GEN4_CONNECT_DIAGNOSTICS:Parsing file  for firmware updates
936 1730308766322 GEN4_CONNECT_DIAGNOSTICS:ENTERING: com.microchip.mplab.mdbcore.pk4hybrid.pk4hybridFirmwareUpdateHandler.ParseSelectedVersionsFromJamFile()
936 1730308766322 GEN4_CONNECT_DIAGNOSTICS:Jame file line = boot.hex,010000
936 1730308766322 GEN4_CONNECT_DIAGNOSTICS:Jame file line = scripts.xml,000747
936 1730308766322 GEN4_CONNECT_DIAGNOSTICS:Jame file line = app1 020180, 0040C000
936 1730308766322 GEN4_CONNECT_DIAGNOSTICS:Jame file line = app2 1.15.20, 00500000
936 1730308766322 GEN4_CONNECT_DIAGNOSTICS:Jame file line = app3 000000, FFFFFFFF
936 1730308766322 GEN4_CONNECT_DIAGNOSTICS:Jame file line = app4 000000, FFFFFFFF
936 1730308766322 GEN4_CONNECT_DIAGNOSTICS:Jame file line = app5 000000, FFFFFFFF
936 1730308766322 GEN4_CONNECT_DIAGNOSTICS:Jame file line = app6 000000, FFFFFFFF
936 1730308766322 GEN4_CONNECT_DIAGNOSTICS:Jame file line = app7 000000, FFFFFFFF
936 1730308766322 GEN4_CONNECT_DIAGNOSTICS:Jame file line = app8 000000, FFFFFFFF
936 1730308766322 GEN4_CONNECT_DIAGNOSTICS:EXITING: com.microchip.mplab.mdbcore.pk4hybrid.pk4hybridFirmwareUpdateHandler.ri4ParseSelectedVersionsFromJamFile()
936 1730308766322 GEN4_CONNECT_DIAGNOSTICS:EXITING: com.microchip.mplab.mdbcore.pk4hybrid.pk4hybridFirmwareUpdateHandler.GetUpdateInfo()
936 1730308766322 GEN4_CONNECT_DIAGNOSTICS:current toolType = pk4

936 1730308766322 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Pre:EstablishCommunincations
936 1730308766322 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Payload
936 1730308766322 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 com.microchip.mplab.mdbcore.PK4Tool.PK4Com@6447a1e8
936 1730308766322 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Payload End
936 1730308766323 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Post:EstablishCommunincations
936 1730308766323 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Return Value
936 1730308766323 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 true
936 1730308766323 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Return End

936 1730308766323 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Pre:GetFirmwareInfo
936 1730308766323 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Payload
936 1730308766323 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 null
936 1730308766323 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Payload End
936 1730308766330 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Post:GetFirmwareInfo
936 1730308766330 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Return Value
936 1730308766330 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 FirmwareInfo: Values:
936 1730308766330 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 FirmwareInfo: boot = false, bootVer = 01.00.00, apVer = 02.01.80, fpgaVer = ff.ff.ff, scriptVer = 00.07.47, macAddress = 0495683497581534853485257485352, devID = a1020e01, devID1 = 2, devSN0 = ffffffff, devSN1 = ffffffff, serialNumber = BUR185076867, appCommitID = null, scriptCommitID = 974b928e70, PCB_ID = 3
936 1730308766330 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Return End
936 1730308766335 GEN4_CONNECT_DIAGNOSTICS:appNeedsUpdate returned false
936 1730308766335 GEN4_CONNECT_DIAGNOSTICS:EXITING: com.microchip.mplab.mdbcore.RI4Tool.ConnectionHandler.CheckForFWUpdates()

936 1730308766335 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Pre:EstablishCommunincations
936 1730308766335 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Payload
936 1730308766335 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 com.microchip.mplab.mdbcore.PK4Tool.PK4Com@6447a1e8
936 1730308766335 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Payload End
936 1730308766336 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Post:EstablishCommunincations
936 1730308766336 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Return Value
936 1730308766336 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 true
936 1730308766336 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Return End

936 1730308766336 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Pre:GetFirmwareInfo
936 1730308766336 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Payload
936 1730308766336 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 null
936 1730308766336 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Payload End
936 1730308766343 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Post:GetFirmwareInfo
936 1730308766343 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Return Value
936 1730308766343 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 FirmwareInfo: Values:
936 1730308766343 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 FirmwareInfo: boot = false, bootVer = 01.00.00, apVer = 02.01.80, fpgaVer = ff.ff.ff, scriptVer = 00.07.47, macAddress = 0495683497581534853485257485352, devID = a1020e01, devID1 = 2, devSN0 = ffffffff, devSN1 = ffffffff, serialNumber = BUR185076867, appCommitID = null, scriptCommitID = 974b928e70, PCB_ID = 3
936 1730308766343 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Return End

936 1730308766344 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Pre:GetFirmwareInfo
936 1730308766344 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Payload
936 1730308766344 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 null
936 1730308766344 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Payload End
936 1730308766351 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Post:GetFirmwareInfo
936 1730308766351 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Return Value
936 1730308766351 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 FirmwareInfo: Values:
936 1730308766351 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 FirmwareInfo: boot = false, bootVer = 01.00.00, apVer = 02.01.80, fpgaVer = ff.ff.ff, scriptVer = 00.07.47, macAddress = 0495683497581534853485257485352, devID = a1020e01, devID1 = 2, devSN0 = ffffffff, devSN1 = ffffffff, serialNumber = BUR185076867, appCommitID = null, scriptCommitID = 974b928e70, PCB_ID = 3
936 1730308766351 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Return End
936 1730308766352 XXXX 1730308766352, Thread 936: XXXX 1730308766352, Entering Thread 936: Commands::runScriptWithUpload with script contents. contents[0] = 0x5e, ...  
936 1730308766352 XXXX 1730308766352, Thread 936: XXXX 1730308766352, Entering Thread 936: ToolCommUsb::readTransfer, sideData is 0xd bytes long, transferDataLength is 0x4 bytes long  
936 1730308766355 XXXX 1730308766355, Thread 936: XXXX 1730308766355, Exiting Thread 936: ToolCommUsb::readTransfer,  cr.status = 0x0  
936 1730308766355 XXXX 1730308766355, Thread 936: XXXX 1730308766355, Exiting Thread 936: Commands::runScriptWithUpload  
936 1730308766355 GEN4_CONNECT_DIAGNOSTICS:ENTERING: com.microchip.mplab.mdbcore.RI4Tool.ConnectionHandler.CheckForFWUpdates()
936 1730308766355 GEN4_CONNECT_DIAGNOSTICS:Created FirmwareUpdateHandler com.microchip.mplab.mdbcore.pk4hybrid.pk4hybridFirmwareUpdateHandler@40e2de5
936 1730308766355 GEN4_CONNECT_DIAGNOSTICS:ENTERING: com.microchip.mplab.mdbcore.pk4hybrid.pk4hybridFirmwareUpdateHandler.UpdateFirmware(FirmwareInfo, UpdateMessage)
936 1730308766355 GEN4_CONNECT_DIAGNOSTICS:areWeInBoot returned false
936 1730308766355 GEN4_CONNECT_DIAGNOSTICS:inBoot = false
936 1730308766355 GEN4_CONNECT_DIAGNOSTICS:uMode = done
936 1730308766355 GEN4_CONNECT_DIAGNOSTICS:selectedTool = pk4
936 1730308766355 GEN4_CONNECT_DIAGNOSTICS:current toolType = pk4
936 1730308766355 GEN4_CONNECT_DIAGNOSTICS:current tool mode = pk4
936 1730308766355 GEN4_CONNECT_DIAGNOSTICS:ENTERING: com.microchip.mplab.mdbcore.pk4hybrid.pk4hybridFirmwareUpdateHandler.updatePk4HybridFirmware()
936 1730308766355 GEN4_CONNECT_DIAGNOSTICS:Don't upgrade fimware = false
936 1730308766355 GEN4_CONNECT_DIAGNOSTICS:ENTERING: com.microchip.mplab.mdbcore.pk4hybrid.pk4hybridFirmwareUpdateHandler.updatePk4HybridFirmware()
936 1730308766355 GEN4_CONNECT_DIAGNOSTICS:EXITING: com.microchip.mplab.mdbcore.pk4hybrid.pk4hybridFirmwareUpdateHandler.UpdateFirmware(FirmwareInfo, UpdateMessage)
936 1730308766355 GEN4_CONNECT_DIAGNOSTICS:EXITING: com.microchip.mplab.mdbcore.RI4Tool.ConnectionHandler.CheckForFWUpdates()

936 1730308766355 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Pre:SetPowerInfo
936 1730308766355 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Payload
936 1730308766355 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 PowerInfo: Values:
936 1730308766355 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 PowerInfo: shotDownSystem = false, isToolPower = false, voltage = 3.250000, useVppFirst = false, useLowVoltageProgramming = true, useMaintainActivePower = false
936 1730308766355 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Payload End
936 1730308766355 XXXX 1730308766355, Thread 936: XXXX 1730308766355, Entering Thread 936: Commands::runScriptBasic with script contents. contents[0] = 0x39, ...  
936 1730308766357 XXXX 1730308766357, Thread 936: XXXX 1730308766357, Exiting Thread 936: Commands::runScriptBasic  
936 1730308766357 XXXX 1730308766357, Thread 936: XXXX 1730308766357, Entering Thread 936: Commands::runScriptBasic with script contents. contents[0] = 0x46, ...  
936 1730308766358 XXXX 1730308766358, Thread 936: XXXX 1730308766358, Exiting Thread 936: Commands::runScriptBasic  
936 1730308766358 XXXX 1730308766358, Thread 936: XXXX 1730308766358, Entering Thread 936: Commands::runScriptBasic with script contents. contents[0] = 0x44, ...  
936 1730308766370 XXXX 1730308766370, Thread 936: XXXX 1730308766370, Exiting Thread 936: Commands::runScriptBasic  
936 1730308766370 XXXX 1730308766370, Thread 936: XXXX 1730308766370, Entering Thread 936: Commands::runScriptBasic with script contents. contents[0] = 0xef, ...  
936 1730308766381 XXXX 1730308766381, Thread 936: XXXX 1730308766381, Exiting Thread 936: Commands::runScriptBasic  
936 1730308766381 XXXX 1730308766381, Thread 936: XXXX 1730308766381, Entering Thread 936: Commands::runScriptBasic with script contents. contents[0] = 0x40, ...  
936 1730308766780 XXXX 1730308766780, Thread 936: XXXX 1730308766780, Exiting Thread 936: Commands::runScriptBasic  
936 1730308766780 XXXX 1730308766780, Thread 936: XXXX 1730308766780, Entering Thread 936: Commands::runScriptBasic with script contents. contents[0] = 0x47, ...  
936 1730308766896 XXXX 1730308766896, Thread 936: XXXX 1730308766896, Exiting Thread 936: Commands::runScriptBasic  
936 1730308766896 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Post:SetPowerInfo
936 1730308766896 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Return Value
936 1730308766896 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 none
936 1730308766896 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Return End

936 1730308766896 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Pre:GetVoltageInfo
936 1730308766896 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Payload
936 1730308766896 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 null
936 1730308766896 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Payload End
936 1730308766896 XXXX 1730308766896, Thread 936: XXXX 1730308766896, Entering Thread 936: Commands::runScriptBasic with script contents. contents[0] = 0x47, ...  
936 1730308766974 XXXX 1730308766974, Thread 936: XXXX 1730308766974, Exiting Thread 936: Commands::runScriptBasic  
936 1730308766974 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Post:GetVoltageInfo
936 1730308766974 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Return Value
936 1730308766974 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 VoltagesInfo: Values:
936 1730308766974 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 VoltagesInfo: internalVdd = 3306, internalVpp = 3068, targetVdd = 3316, targetVpp = 354, vddSense = 0, temp = 25000, vddCurrentSense = 1, vddVoltageSense = 3125
936 1730308766974 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Return End

936 1730308766974 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Pre:GetFirmwareInfo
936 1730308766974 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Payload
936 1730308766974 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 null
936 1730308766974 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Payload End
936 1730308766982 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Post:GetFirmwareInfo
936 1730308766982 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Return Value
936 1730308766982 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 FirmwareInfo: Values:
936 1730308766982 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 FirmwareInfo: boot = false, bootVer = 01.00.00, apVer = 02.01.80, fpgaVer = ff.ff.ff, scriptVer = 00.07.47, macAddress = 0495683497581534853485257485352, devID = a1020e01, devID1 = 2, devSN0 = ffffffff, devSN1 = ffffffff, serialNumber = BUR185076867, appCommitID = null, scriptCommitID = 974b928e70, PCB_ID = 3
936 1730308766982 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Return End

936 1730308766982 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Pre:SetLEDBrightness
936 1730308766982 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Payload
936 1730308766982 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 5
936 1730308766982 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Payload End
936 1730308766982 XXXX 1730308766982, Thread 936: XXXX 1730308766982, Entering Thread 936: Commands::runScriptBasic with script contents. contents[0] = 0xcf, ...  
936 1730308766984 XXXX 1730308766984, Thread 936: XXXX 1730308766984, Exiting Thread 936: Commands::runScriptBasic  
936 1730308766984 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Post:SetLEDBrightness
936 1730308766984 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Return Value
936 1730308766984 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 none
936 1730308766984 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Return End

936 1730308766984 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Pre:SetToolInfo
936 1730308766984 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Payload
936 1730308766984 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 ToolInfo: Values:
936 1730308766984 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 ToolInfo: speedLevel = 1, PGCResistance = 4700, PGDResistance = 4700, PGCPullDir = PullDown, PGDPullDir = PullDown, ICSPSelected = Wire2
936 1730308766984 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Payload End
936 1730308766984 XXXX 1730308766984, Thread 936: XXXX 1730308766984, Entering Thread 936: Commands::runScriptBasic with script contents. contents[0] = 0x27, ...  
936 1730308766984 XXXX 1730308766984, Thread 936: XXXX 1730308766984, Exiting Thread 936: Commands::runScriptBasic  
936 1730308766984 XXXX 1730308766984, Thread 936: XXXX 1730308766984, Entering Thread 936: Commands::runScriptBasic, script name = SetSpeedFromDevice, timeOut = -1 ms  
936 1730308766985 XXXX 1730308766985, Thread 936: XXXX 1730308766985, Exiting Thread 936: Commands::runScriptBasic  
936 1730308766985 XXXX 1730308766985, Thread 936: XXXX 1730308766985, Entering Thread 936: Commands::runScriptBasic with script contents. contents[0] = 0xed, ...  
936 1730308766986 XXXX 1730308766986, Thread 936: XXXX 1730308766986, Exiting Thread 936: Commands::runScriptBasic  
936 1730308766986 XXXX 1730308766986, Thread 936: XXXX 1730308766986, Entering Thread 936: Commands::runScriptBasic with script contents. contents[0] = 0xec, ...  
936 1730308766987 XXXX 1730308766987, Thread 936: XXXX 1730308766987, Exiting Thread 936: Commands::runScriptBasic  
936 1730308766987 XXXX 1730308766987, Thread 936: XXXX 1730308766987, Entering Thread 936: Commands::runScriptBasic with script contents. contents[0] = 0xd4, ...  
936 1730308766988 XXXX 1730308766988, Thread 936: XXXX 1730308766988, Exiting Thread 936: Commands::runScriptBasic  
936 1730308766988 XXXX 1730308766988, Thread 936: XXXX 1730308766988, Entering Thread 936: Commands::runScriptBasic with script contents. contents[0] = 0xcd, ...  
936 1730308766989 XXXX 1730308766989, Thread 936: XXXX 1730308766989, Exiting Thread 936: Commands::runScriptBasic  
936 1730308766989 XXXX 1730308766989, Thread 936: XXXX 1730308766989, Entering Thread 936: Commands::runScriptBasic with script contents. contents[0] = 0xce, ...  
936 1730308766990 XXXX 1730308766990, Thread 936: XXXX 1730308766990, Exiting Thread 936: Commands::runScriptBasic  
936 1730308766990 XXXX 1730308766990, Thread 936: XXXX 1730308766990, Entering Thread 936: Commands::runScriptBasic with script contents. contents[0] = 0xcd, ...  
936 1730308766991 XXXX 1730308766991, Thread 936: XXXX 1730308766991, Exiting Thread 936: Commands::runScriptBasic  
936 1730308766991 XXXX 1730308766991, Thread 936: XXXX 1730308766991, Entering Thread 936: Commands::runScriptBasic with script contents. contents[0] = 0xce, ...  
936 1730308766992 XXXX 1730308766992, Thread 936: XXXX 1730308766992, Exiting Thread 936: Commands::runScriptBasic  
936 1730308766992 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Post:SetToolInfo
936 1730308766992 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Return Value
936 1730308766992 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 none
936 1730308766992 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Return End

936 1730308766993 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Pre:GetTargetIDInfo
936 1730308766993 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Payload
